ARRIVAL_DELAY,DEPARTURE_DELAY,ARRIVAL_DELAY_hr,DEPARTURE_DELAY_hr
26.0,4.0,0.43333333333333335,0.06666666666666667
2.0,-3.0,0.03333333333333333,-0.05
25.0,9.0,0.4166666666666667,0.15
6.0,-2.0,0.1,-0.03333333333333333
2.0,-3.0,0.03333333333333333,-0.05
71.0,59.0,1.1833333333333333,0.9833333333333333
-12.0,-5.0,-0.2,-0.08333333333333333
-5.0,8.0,-0.08333333333333333,0.13333333333333333
-4.0,-6.0,-0.06666666666666667,-0.1
-3.0,-8.0,-0.05,-0.13333333333333333
0.0,-8.0,0.0,-0.13333333333333333
-6.0,-1.0,-0.1,-0.016666666666666666
7.0,-9.0,0.11666666666666667,-0.15
55.0,68.0,0.9166666666666666,1.1333333333333333
-23.0,-2.0,-0.38333333333333336,-0.03333333333333333
-32.0,-6.0,-0.5333333333333333,-0.1
-3.0,0.0,-0.05,0.0
10.0,-7.0,0.16666666666666666,-0.11666666666666667
-8.0,-5.0,-0.13333333333333333,-0.08333333333333333
10.0,-8.0,0.16666666666666666,-0.13333333333333333
0.0,-6.0,0.0,-0.1
-15.0,-4.0,-0.25,-0.06666666666666667
28.0,-9.0,0.4666666666666667,-0.15
1.0,-5.0,0.016666666666666666,-0.08333333333333333
-9.0,-10.0,-0.15,-0.16666666666666666
-4.0,-2.0,-0.06666666666666667,-0.03333333333333333
-8.0,1.0,-0.13333333333333333,0.016666666666666666
-7.0,-3.0,-0.11666666666666667,-0.05
38.0,-4.0,0.6333333333333333,-0.06666666666666667
16.0,0.0,0.26666666666666666,0.0
9.0,-4.0,0.15,-0.06666666666666667
-5.0,-8.0,-0.08333333333333333,-0.13333333333333333
-4.0,4.0,-0.06666666666666667,0.06666666666666667
-3.0,-4.0,-0.05,-0.06666666666666667
16.0,-2.0,0.26666666666666666,-0.03333333333333333
-4.0,-4.0,-0.06666666666666667,-0.06666666666666667
10.0,0.0,0.16666666666666666,0.0
6.0,-2.0,0.1,-0.03333333333333333
